Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Poisoner's Ring,Kelley Armstrong,"",9781250820037,hardcover,read,2022/09/19,2023/06/21,2023/06/21,1,"adventurous, mysterious",medium,A mix,Yes,Yes,"","",4.5,,"","","",Yes
Doctor Who: Doom Coalition 1,Matt Fitton,"John Dorney, Hattie Morahan, John Woodvine, Marc Platt, Edward Collier, Nicola Walker, Sylvester McCoy, Robert Bathurst, Ramon Tikaram, Paul McGann, Mark Bonnar",9781781786208,audio,read,2015/10/21,2016/02/10,2016/02/10,1,"",,,,,,,,,"",,audiobook,No
SOS: Espaçonave Titan,Kurt Brand,"","",paperback,read,2021/05/08,"","",1,"",,,,,,,,,"",,"",No
"Hikaru No Go, Vol. 8, Volume 8",Yumi Hotta,"",9781421506425,paperback,read,2022/02/27,"","",1,"",,,,,,,,,"",,manga,No
ダンジョン飯 7 Dungeon Meshi 7,"Ryoko Kui, 九井諒子","",9784047356399,paperback,read,2019/12/29,2019/12/29,2019/12/29,1,"",,,,,,,4.0,,"",,manga,No
ブラッククローバー 7 [Burakku Kurōbā 7],Yûki Tabata,"",9784088807515,paperback,read,2022/07/14,2020/01/01,2020/01/01,1,"",,,,,,,,,"",,manga,No
Flashback,Shannon Messenger,"",9781481497459,digital,read,2022/09/03,2022/09/15,2022/09/15,1,"",,,,,,,4.0,,"",,"",Yes
"One Piece, Vol. 16: Carrying on His Will",Eiichiro Oda,"",9781421510934,paperback,read,2022/04/15,2022/04/01,2022/04/01,1,"",,,,,,,,,"",,manga,No
ブラッククローバー 2 [Burakku Kurōbā 2],Yûki Tabata,"",9784088804521,paperback,read,2022/07/14,2020/01/01,2020/01/01,1,"",,,,,,,,,"",,manga,No
"One Piece, Vol. 69: S.A.D.",Eiichiro Oda,"",9781421561431,paperback,read,2022/07/13,2022/07/13,2022/07/13,1,"",,,,,,,,,"",,manga,No
怪獣8号 5 Kaijuu 8-gou 5,Naoya Matsumoto,"",9784088828725,paperback,read,2022/07/08,2022/02/27,2022/02/27,1,"",,,,,,,,,"",,manga,No
小林さんちのメイドラゴン 6 [Kobayashi-san Chi no Maid Dragon 6],coolkyousinnjya,"",9784575850024,paperback,read,2021/11/14,2020/01/01,2020/01/01,1,"",,,,,,,,,"",,manga,No
Mexican Gothic,Silvia Moreno-Garcia,Έφη Τσιρώνη (Translator),9789606452123,paperback,read,2020/10/29,2020/11/17,2020/11/17,1,"",,,,,,,5.0,,"",,"",No
"Konosuba: An Explosion on This Wonderful World!, Vol. 2 (light novel): Yunyun's Turn",Natsume Akatsuki,Kurone Mishima (Illustrator),9781975387037,digital,read,2023/11/26,2023/11/26,2023/11/26,1,"",,"","","","","",4.0,"","","","",Yes
Fábulas: As 1001 Noites de Neve,"Charles Vess, Bill Willingham","Esao Andrews (Illustrator), Bill Willingham (Illustrator)",,paperback,read,2015/01/16,"","",1,"",,,,,,,4.0,,"",,graphic-novels,No
You Are Here: An Owner's Manual for Dangerous Minds,Jenny Lawson,"",9781250119889,paperback,"","","","","","","","","","","","","","","","",interested,No
Frankenstein,"Mary Shelley, Mary Shelley","",0553210440,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
"Clanlands: Whisky, Warfare, and a Scottish Adventure Like No Other","Graham McTavish, Sam Heughan","",9781529342000,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Lord-Protector's Daughter,L.E. Modesitt Jr.,"","",,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Girl in Dior,Annie Goetzinger,"",9781561639144,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
The Art of Zootopia,Jessica Julius,"",9781452122236,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Wellspring of Chaos,L.E. Modesitt Jr.,"",076534808X,paperback,"","","","","","","","","","","","","","","","",humble-bundle,Yes
The Sculthorpe Murder,Karen Charlton,"",9781531830588,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Wyrd Sisters: The Play,Terry Pratchett,"",9780552144308,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
Empress of Eternity,L.E. Modesitt Jr.,"",B003P8QSCI,digital,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Irving Wishbutton and the Questing Academy,Brian Clopper,"",,,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Girl from Oto,Amy Maroney,"",B01LWAHC4H,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
"The Woods, Vol. 9: The Way Home","Michael Dialynas, James Tynion IV","","",digital,"","","","","","","","","","","","","","","","",comics,No
Murder by Misrule,Anna Castle,"",9780991602506,paperback,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
"The Woods, Vol. 6: The Lost","Michael Dialynas, Josan Gonzalez, Ed Dukeshire, James Tynion IV","",B01N0W77TT,digital,"","","","","","","","","","","","","","","","",comics,No
Thunder Oak,Garry Kilworth,"",9780552545464,paperback,"","","","","","","","","","","","","","","","",animals,No
Guards! Guards!: The Play,Stephen Briggs,Terry Pratchett,9780552144315,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
Light to the Hills,Bonnie Blaylock,"","",audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Judas Blossom,Stephen Aryan,"",9781915202529,digital,"","","","","","","","","","","","","","","","",all-tbr,No
Wild and Wicked Things,Francesca May,"",9780316287159,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
"The Hidden Life of Trees: What They Feel, How They Communicate",Peter Wohlleben,"Jane Billinghurst (Translator), Tim Flannery (Contributor)",9781771642491,digital,"","","","","","","","","","","","","","","","",non-fiction,No
Skyhunter,Marie Lu,"",9781250221681,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Estados Unidos de Japón,Peter Tieryas,José Heisenberg (Translator),9780857665348,digital,"","","","","","","","","","","","","","","","",interested,No
Notes from the Underground,Fyodor Dostoevsky,"","",digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Lost World,Arthur Conan Doyle,"",9780812967258,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Unofficial Detective,Kathryn Wells,"",9781975904388,paperback,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Fingersmith,Sarah Waters,"",9781101057025,paperback,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Cadmian's Choice,L.E. Modesitt Jr.,"","",paperback,"","","","","","","","","","","","","","","","",humble-bundle,Yes
