Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Nightmare Illustrated: Issue 5,Horrified Press,"",9781291748666,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
What If? 2: Additional Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"",9780525537113,hardcover,"","","","","","","","","","","","","","","","","non-fiction, next",No
Zero-Degree Murder,M.L. Rowland,"",9780425263662,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
Narrative of the Life of Frederick Douglass,Frederick Douglass,"",9798702650838,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Dark Shadows / Vampirella,Marc Andreyko,"",9781606903957,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
Spell Booked,Joyce Lavene,"",9780425268254,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Feyland: The Bright Court,Anthea Sharp,"",9781470182656,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
The Willows,Algernon Blackwood,"",9781620117682,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Keystone,Luke Talbot,"",,,"","","","","","","","","","","","","","","","",all-tbr,No
Our Wives Under The Sea,Julia Armfield,"",9781529017229,paperback,"","","","","","","","","","","","","","","","",tbr-not-owned,No
The Preacher,Ted Thackrey Jr.,"",,,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
"Storm, Vol. 1: Make it Rain","Greg Pak, Víctor Ibáñez, Matteo Buffagni","",9780785191612,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
The Starless Crown,James Rollins,"",9781250816771,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
The Octagonal Raven,L.E. Modesitt Jr.,"",B0048EKI2O,digital,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Moth Busters,Margaret Lashley,"",B07RC7HVD2,digital,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Edgar Allan Poe: The Complete Works,Edgar Allan Poe,"","",digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
My Name is Eva,Suzanne Goldring,"",,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Night Gardener,Jonathan Auxier,"",9781419711442,hardcover,"","","","","","","","","","","","","","","","",all-tbr,No
The Gigantic Beard That Was Evil,Stephen Collins,"",9780224096287,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
The Order War,L.E. Modesitt Jr.,"",9780812534047,paperback,"","","","","","","","","","","","","","","","",humble-bundle,Yes
After Alice Fell,Kim Taylor Blakemore,"",B0874463D9,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Sherlock Holmes : Complete Collection,Arthur Conan Doyle,Icarsus,"",digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
"The Woods, Vol. 3: New London","Michael Dialynas, Josan Gonzalez, James Tynion IV","",B018V58BU6,digital,"","","","","","","","","","","","","","","","",comics,No
A Portrait of the Artist as a Young Man,James Joyce,Richard Ellmann,9780586044759,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Die Schwelle,F.R. Tallis,Max Merkatz (Translator),9781605985558,digital,"","","","","","","","","","","","","","","","",all-tbr,No
The Maid's Diary,Loreth Anne White,Jane Oppenheimer (Narrator),B0B8JY1HCH,audio,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
"Ms. Marvel, Vol. 3: Crushed",G. Willow Wilson,"Takeshi Miyazawa (Illustrator), Elmo Bondoc (Illustrator)",9780785192275,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
Watership Down,Richard Adams,"",9780380395866,paperback,"","","","","","","","","","","","","","","","",animals,No
Beautiful Darkness,Fabien Vehlmann,"Kerascoët (Illustrator), Helge Dascher (Translator)",9781770461291,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
Hitman Anders and the Meaning of It All,Jonas Jonasson,Rachel Willson-Broyles,9781443446761,paperback,"","","","","","","","","","","","","","","","",interested,No
The Long Earth,"Terry Pratchett, Stephen Baxter","",9780062067753,hardcover,"","","","","","","","","","","","","","","","",all-tbr,No
On Liberty,John Stuart Mill,"",9781340809027,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
ＮＥＸＣＬ　Supergöttin der wiedergeborenen Göttin　Ⅰ,daidroid NEXCL,cent_u NEXCL,"",digital,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
The Shadow of the Gods,John Gwynne,"",9780356514185,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Magi'i of Cyador,L.E. Modesitt Jr.,"",9781250769206,paperback,"","","","","","","","","","","","","","","","",humble-bundle,Yes
First Light,Dan Abnett,I.N.J. Culbard,9781608867356,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
The Tattoo Murder Case,Akimitsu Takagi,Deborah Boliver Boehm (Translator),9781569471562,paperback,"","","","","","","","","","","","","","","","","japanese-literature, asian-literature",No
The Green Ember,S.D. Smith,Zach Franzen (Illustrator),B00QZ6BYNA,digital,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
The Manhattan Projects Volume 1: Science Bad,Jonathan Hickman,"",9781607066088,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
Fall of Angels,L.E. Modesitt Jr.,"",9780812538953,hardcover,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Steamscape,D. Dalton,Dennis Saputra (Illustrator),9780615844749,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
"Egyptian Mythology: A Fascinating Guide to Understanding the Gods, Goddesses, Monsters, and Mortals",Matt Clayton,"",,digital,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Stellarlune,Shannon Messenger,"",9781665929486,hardcover,"","","","","","","","","","","","","","","","",next,No
Daughter of Black Lake,Cathy Marie Buchanan,"",9780735216167,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
A Girl's Guide to Guns and Monsters,"Martin H. Greenberg, Kerrie Hughes","",9780756406141,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
The Call of the Wild,Jack London,"",9781433213571,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Strange Journey of Alice Pendelbury,Marc Levy,Chris Murray (Translator),9781721349241,audio,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
The Affinity Bridge,George Mann,"",9781905005895,hardcover,"","","","","","","","","","","","","","","","",all-tbr,No
The Light Fantastic,Terry Pratchett,"",9780061020704,paperback,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Transgalactic Antics,J.J. Green,"",,,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Ikigai,"Francesc Miralles, Héctor García Puigcerver","",B01NAG34EH,digital,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
The Source of Magic,Piers Anthony,"",9780345418500,paperback,"","","","","","","","","","","","","","","","",next-in-series,No
Grace Randolph's Supurbia Vol. 1,"Grace Randolph, Russell Dauterman","",,digital,"","","","","","","","","","","","","","","","",graphic-novels,No
The Apollo Murders,Chris Hadfield,"",9780316264532,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Fire Logic,Laurie J. Marks,Kathleen Jennings,9780812566536,paperback,"","","","","","","","","","","","","","","","",lgbt,No
Alector's Choice,L.E. Modesitt Jr.,"",9780765352576,paperback,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Skullkickers Volume 1: 1000 Opas and a Dead Body,Jim Zubkavich,"",9781607063667,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
4 Years Trapped in My Mind Palace,Johan Twiss,"",9781520110523,paperback,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 3,"Shirotaka, Rifujin na Magonote","","",,"","","","","","","","","","","","","","","","","light-novel, owned-maybe",Yes
Exiles,"Leslie Saunders, Ashley Saunders","","",audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Ghosts and Girls of Fiction House!,"Various, Various",Matt Baker (Illustrator),9781631404047,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
Becoming Mrs. Lewis,"Patti Callahan Henry, Patti Callahan Henry","",,digital,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
In The Shadow Of The Glacier,Vicki Delany,"",9781590584484,digital,"","","","","","","","","","","","","","","","",all-tbr,No
Lady Clare,"Granville Perkins, Alfred Fredericks, Alfred Tennyson","",,,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Lights of Prague,Nicole Jarvis,"",9781789093940,paperback,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Poppy,Avi,"",9780689837180,paperback,"","","","","","","","","","","","","","","","",animals,No
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"",9780670785933,hardcover,"","","","","","","","","","","","","","","","",next,No
The Decagon House Murders,Yukito Ayatsuji,"Ho-Ling Wong (Translator), Sōji Shimada (Contributor)",9781508503736,paperback,"","","","","","","","","","","","","","","","",japanese-literature,No
Habit Stacking: 127 Small Actions That Take Five Minutes or Less,S.J. Scott,"",,,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Dragon's Milk,"Fletcher, Fletcher","",9780689716232,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
More Women of Wonder: Science Fiction Novelettes by Women About Women,"Joanna Russ, Kate Wilhelm, Pamela Sargent, Ursula K. Le Guin, Leigh Brackett, C.L. Moore, Josephine Saxton, Joan D. Vinge","",,,"","","","","","","","","","","","","","","","",all-tbr,No
The Mask of Cthulhu,August Derleth,"",9780586041390,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
The Bird Tribunal,Agnes Ravatn,Rosie Hedger (Translator),"",paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
She Comes First: The Thinking Man's Guide to Pleasuring a Woman,Ian Kerner,"",9780060538262,paperback,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Dragon's Code,Gigi McCaffrey,"","",audio,"","","","","","","","","","","","","","","","",interested,No
Ulysses,James Joyce,"Donal Donnelly (Narrator), Miriam Healy-Louie (Narrator)",9781501260599,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
"Death Vigil, Volume 1",Stjepan Šejić,"",9781632152787,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
The Hacienda,Isabel Cañas,"",9780593436714,digital,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Nimona,ND Stevenson,ND Stevenson (Illustrator),9780062278234,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
The Ninth Rain,Jen Williams,"",9781472235176,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Sky Doll,Alessandro Barbucci,Barbara Canepa,9780785132363,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
The Animals of Farthing Wood,Colin Dann,"",9781405225526,paperback,"","","","","","","","","","","","","","","","",animals,No
Fairhaven Rising,L.E. Modesitt Jr.,"",9781250265197,hardcover,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Mieruko-chan Vol. 6,"Tomoki Izumi, Tomoki Izumi","",9781975349752,digital,"","","","","","","","","","","","","","","","",manga,No
How to Think Like a Roman Emperor: The Stoic Philosophy of Marcus Aurelius,Donald J. Robertson,"",9781250196637,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Cinder,Marissa Meyer,"",9780312641894,hardcover,"","","","","","","","","","","","","","","","",all-tbr,No
Edward Scissorhands Volume 1: Parts Unknown,Kate Leth,Drew Rausch,9781631402609,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
The Chaos Balance,L.E. Modesitt Jr.,"",9780812571301,paperback,"","","","","","","","","","","","","","","","",humble-bundle,Yes
My Life as a White Trash Zombie,Diana Rowland,"",9780756406752,digital,"","","","","","","","","","","","","","","","",graphic-novels,No
Gregor the Overlander,Suzanne Collins,"",9780439771344,paperback,"","","","","","","","","","","","","","","","",interested,No
The Buntline Special,Mike Resnick,"","",,"","","","","","","","","","","","","","","","",all-tbr,No
Urchin of the Riding Stars,M.I. McAllister,Omar Rayyan (Illustrator),9780786854868,hardcover,"","","","","","","","","","","","","","","","",animals,No
Gaslamp Gothic Box Set,Kat Ross,"",,,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Nightmare City,Jack Conner,"",9780991284818,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
Chasing the Star Garden: The Airship Racing Chronicles,Melanie Karsak,"",9780615878775,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
Look Both Ways,Carol J. Perry,"",9781617733734,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Heaven,Mieko Kawakami,"Sam Bett (Translator), David Boyd (Translator)",9781609456214,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Heroes: The Greek Myths Reimagined,Stephen Fry,"",9781797204215,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Magic of Recluce,L.E. Modesitt Jr.,"",9780812505184,paperback,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Swordbird,Nancy Yi Fan,"",9780061130991,hardcover,"","","","","","","","","","","","","","","","",animals,No
Colors of Chaos,L.E. Modesitt Jr.,"",9781250255686,paperback,"","","","","","","","","","","","","","","","",humble-bundle,Yes
The Darkest Thread,Jen Blood,"",,,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Ash,Malinda Lo,"",9780340988374,paperback,"","","","","","","","","","","","","","","","",lgbt,No
The Anatomist's Wife,Anna Lee Huber,"",9780425253281,paperback,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Ghostly Echoes,William Ritter,"",9781616205799,hardcover,"","","","","","","","","","","","","","","","",interested,No
The Republic,Plato,"",9780879753450,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Dying of the Light,Derek Landy,"",9780007489251,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Little Alien on the Prairie (First Contact Book 1),Aron Lewes,"",,,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Tesla,Mark Lingane,"",9780992593599,hardcover,"","","","","","","","","","","","","","","","",all-tbr,No
The Viking's Chosen,Quinn Loftis,"Chris Andrew Ciulla (Narrator), Andrea Emmes (Narrator)",9781974904235,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Howard die Ente,Ellis Weiner,"",9780425092750,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
Scion of Cyador,L.E. Modesitt Jr.,"",,hardcover,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Norwegian Wood,Haruki Murakami,Jay Rubin (Translator),9780375704024,paperback,"","","","","","","","","","","","","","","","","japanese-literature, asian-literature",No
Silk Life & Times of Cindy Moon,Robbie Thompson,Stacey Lee (Illustrator),9780785197041,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
The Impossible Girl,Lydia Kang,"",9781503903388,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
A Wizard of Earthsea,Ursula K. Le Guin,Ruth Robbins (Illustrator),9780553262506,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Soarer's Choice,L.E. Modesitt Jr.,"","",,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Dewey's Nine Lives: The Legacy of the Small-Town Library Cat Who Inspired Millions,Vicki Myron,"",9780525951865,hardcover,"","","","","","","","","","","","","","","","",all-tbr,No
Paradise Lost,John Milton,Gustave Doré (Illustrator),9781478229629,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Ones We're Meant to Find,Joan He,"",9781250258564,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Tell Me I'm Worthless,Alison Rumfitt,"",9781250866233,paperback,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Vampirella: Southern Gothic,Nate Cosby,"",9781606904893,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
Space Opera,Catherynne M. Valente,"",9781472115089,paperback,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Just One Damned Thing After Another,Jodi Taylor,Zara Ramm (Narrator),9781531841546,audio,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
"The Sleep Revolution: Transforming Your Life, One Night at a Time",Arianna Huffington,"",9781101904022,paperback,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Will,"Will Smith, Mark Manson",Will Smith (Narrator),9780593146231,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Magic Engineer,L.E. Modesitt Jr.,"","",,"","","","","","","","","","","","","","","","",humble-bundle,Yes
The Winter King,C.L. Wilson,"",9780062018977,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Redwall,Brian Jacques,"",9781862301382,paperback,"","","","","","","","","","","","","","","","",interested,No
In Real Life,Cory Doctorow,Jen Wang (Illustrator),9781250144287,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
Skywriting: Poems to Fly,J. Patrick Lewis,Laszlo Kubinyi (Illustrator),9781568462035,hardcover,"","","","","","","","","","","","","","","","",all-tbr,No
The Mage-Fire War,L.E. Modesitt Jr.,"","",,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Enciclopédia Dragon Ball Z,Akira Toriyama,"","",paperback,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Klara and the Sun,Kazuo Ishiguro,"",9780593318171,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Ordermaster,L.E. Modesitt Jr.,"","",,"","","","","","","","","","","","","","","","",humble-bundle,Yes
The Android's Dream,John Scalzi,"",9780765309419,hardcover,"","","","","","","","","","","","","","","","",all-tbr,No
A Thousand Recipes for Revenge,Beth Cato,Elizabeth Knowelden (Narrator),B0BH98CZRB,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
"Wayward, Volume 2: Ties That Bind",Jim Zub,"",9781632154033,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
D4ve,Ryan Ferrier,Valentin Ramon (Illustrator),9781631404023,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
Chase of the Rising Sun,"Colin Rink, Colin Rink","",9781777484200,paperback,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Frey,Melissa Wright,"","",digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Meddling Kids,Edgar Cantero,"",9780385541992,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
The Humans,Matt Haig,Mark Meadows,9781442366497,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Bunnicula: A Rabbit-Tale of Mystery,"Deborah Howe, James Howe",Alan Daniel (Illustrator),9781416928171,paperback,"","","","","","","","","","","","","","","","",wtf,No
Seekers of the Weird,Brandon Seifert,"Karl Moline (Illustrator), Mike Del Mundo (Illustrator), Jean-François Beaulieu (Illustrator)",9780785154525,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
Of Fire and Stars,Audrey Coulthurst,Jordan Saia (Illustrator),9780062433251,hardcover,"","","","","","","","","","","","","","","","",lgbt,No
Captain Marvel Masterworks Vol. 1 (Captain Marvel,"Arnold Drake, Roy Thomas","Gene Colan (Illustrator), Don Heck (Illustrator)",9780785118213,digital,"","","","","","","","","","","","","","","","",graphic-novels,No
The Invisible Man,H.G. Wells,"",9781495957093,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Templar's Cross,J.R. Tomlin,"",,,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
A Marvellous Light,Freya Marske,David Thorpe (Narrator),9781250824851,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Ember and the Ice Dragons,Heather Fawcett,"",9780062854520,paperback,"","","","","","","","","","","","","","","","",tbr-not-owned,No
The Kaiju Preservation Society,John Scalzi,"",9780765389121,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Household Tales by Brothers Grimm,Jacob Grimm,"",9781618950321,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
"The Woods, Vol. 5: The Horde",James Tynion IV,Michael Dialynas (Illustrator),9781608868575,paperback,"","","","","","","","","","","","","","","","",comics,No
"Thunderbolts, Volume 1: Faith in Monsters",Warren Ellis,Mike Deodato,9780785125686,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
Cyador's Heirs,L.E. Modesitt Jr.,"","",,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Ethics,Aristotle,J A K (James Alexander Ke Thomson,"",digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Crime and Punishment,Fyodor Dostoevsky,"",9781613826393,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Murder in Park Lane,Karen Charlton,"",9781503955622,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
A Thousand Brains,Jeff Hawkins,"",9781541675810,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Unnatural History,Jonathan Green,"",9781905437108,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,"","",digital,"","","","","","","","","","","","","","","","",next,No
The Bear and the Nightingale,Katherine Arden,"",9781101885932,hardcover,"","","","","","","","","","","","","","","","",interested,No
Mage-Guard of Hamor,L.E. Modesitt Jr.,"","",,"","","","","","","","","","","","","","","","",humble-bundle,Yes
The Girl Who Fell Beneath the Sea,Axie Oh,"",9781250780867,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
A Venom Dark and Sweet,Judy I. Lin,"",9781250767103,hardcover,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Song of the Forever Rains,E.J. Mellow,"",9781542026062,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Lies We Bury,Elle Marr,Kate Rudd (Narrator),9781713523628,audio,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
The Haunted Vagina,Carlton Mellick III,"",9780976249887,paperback,"","","","","","","","","","","","","","","","",wtf,No
No Way Back,J.B. Turner,"",9781713631774,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Terror,Dan Simmons,Simon Vance,9781600244858,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
"The Art of Coco: (pixar Fan Animation Book, Pixar's Coco Concept Art Book)",John Lasseter,"",9781452156439,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Inspector and Mrs. Jeffries,Emily Brightwell,"",9780425136225,hardcover,"","","","","","","","","","","","","","","","",all-tbr,No
The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,James Cameron Stewart (Narrator),9781541461154,audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Thursday Murder Club,Richard Osman,"",9780241425442,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Vienna Secrets: A Max Liebermann Mystery,Frank Tallis,"",9780812980998,paperback,"","","","","","","","","","","","","","","","",tbr-not-owned,No
A Quiet Place,Seicho Matsumoto,Louise Heal Kawai (Translator),9781908524638,paperback,"","","","","","","","","","","","","","","","","japanese-literature, asian-literature",No
Mrs. Rochester's Ghost,Lindsay Marcott,"",9781542026383,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Time Hunters,Carl Ashmore,"",B0794CVZCS,audio,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Techniques of Social Influence: The psychology of gaining compliance,Dariusz Doliński,"",B010VJ92U8,digital,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Gunmetal Gods,Zamil Akhtar,"","",audio,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Anne of Green Gables,L.M. Montgomery,"",9781480102910,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Boneshaker,Cherie Priest,"",9780765318411,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
Saving Mars Series Books 1-2,Cidney Swanson,"",,,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
"Bookends: A Memoir of Love, Loss, and Literature",Zibby Owens,"","",digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Bawdy Bard: A Gutter Sonata,"Andrew Marc Rowe, Andrew Marc Rowe","",,digital,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Sex Criminals Volume 3: Three the Hard Way,Matt Fraction,"",9781632155429,paperback,"","","","","","","","","","","","","","","","",graphic-novels,No
The Tale of Holly How,Susan Wittig Albert,"",9780425206133,paperback,"","","","","","","","","","","","","","","","",next-in-series,No
Winter Town,Stephen Emond,"",9780316133326,hardcover,"","","","","","","","","","","","","","","","",graphic-novels,No
Wicked Fox,Kat Cho,"",9781984812346,hardcover,"","","","","","","","","","","","","","","","",tbr-not-owned,No
Fevre Dream,George R.R. Martin,"",9780553383058,paperback,"","","","","","","","","","","","","","","","",interested,No
The Death of Chaos,L.E. Modesitt Jr.,"",,hardcover,"","","","","","","","","","","","","","","","",humble-bundle,Yes
The Incompleat Enchanter,L. Sprague de Camp,Fletcher Pratt,9780722129302,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
Delilah Dirk and the Turkish Lieutenant,Tony Cliff,Tony Cliff (Illustrator),9781596438132,paperback,"","","","","","","","","","","","","","","","","all-tbr, graphic-novels",No
Elastic Habits: Good Habits That Adapt to Your Day,Stephen Guise,"","",digital,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Scepters,L.E. Modesitt Jr.,"","",hardcover,"","","","","","","","","","","","","","","","",humble-bundle,Yes
"Sensation Comics featuring Wonder Woman, Volume 1","Gail Simone, Gail Simone","Phil Jimenez (Illustrator), Ethan Van Sciver (Illustrator)",,digital,"","","","","","","","","","","","","","","","",graphic-novels,No
Twelve Years a Slave,Solomon Northup,"",9781774371435,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Nightshade City,Hilary Wagner,"",,,"","","","","","","","","","","","","","","","",animals,No
"The Woods, Vol. 7: The Black City","Michael Dialynas, James Tynion IV","",B0725Q5HHZ,digital,"","","","","","","","","","","","","","","","",comics,No
The Old Guard #1,"Leandro Fernández, Greg Rucka","","",digital,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
Wolf Totem,Jiang Rong,Howard Goldblatt,9781594201561,hardcover,"","","","","","","","","","","","","","","","",asian-literature,No
The Intergalactic Interloper,Delas Heras,"",9781735317519,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
A River in Darkness: One Man's Escape from North Korea,Masaji Ishikawa,"Risa Kobayashi (Translator), Martin Brown (Translator)",9781503936904,hardcover,"","","","","","","","","","","","","","","","",owned-maybe,Yes
The Tokyo Zodiac Murders,Sōji Shimada,"Shika MacKenzie, Ross MacKenzie",9784925080811,hardcover,"","","","","","","","","","","","","","","","","japanese-literature, asian-literature",No
Recluce Tales: Stories from the World of Recluce,L.E. Modesitt Jr.,"",9780765386205,paperback,"","","","","","","","","","","","","","","","",humble-bundle,Yes
Working Stiff,Kevin J. Anderson,"",9781614752042,paperback,"","","","","","","","","","","","","","","","",wtf,No
Aesop's Fables,Aesop,"",9780486280202,paperback,"","","","","","","","","","","","","","","","",owned-maybe,Yes
Anno Dracula: Dracula Cha Cha Cha,Kim Newman,"",9780857680853,paperback,"","","","","","","","","","","","","","","","",all-tbr,No
World Whisperer,Rachel Devenish Ford,"",,,"","","","","","","","","","","","","","","","",owned-prob-not,Yes
The Thrilling Adventure Hour,Ben Acker,"Ben Blacker, Joe LeFavi, Rebecca Taylor, Tom Fowler, Randy Bishop, Chris Moreno, Jeff Stokely, Evan Larson, Natalie Nourigat, Evan Doc Shaner, Joanna Estep, Joel Priddy, Lar de Souza",9781936393961,hardcover,"","","","","","","","","","","","","","","","",all-tbr,No
The Mongrel Mage,L.E. Modesitt Jr.,"","",,"","","","","","","","","","","","","","","","",humble-bundle,Yes
